source_file,source_group,paper_title,publication_year,selected_label_column,metric,unit,stored_transform,direction,better_means,label_origin,tier,supervised_use,valid_min,valid_max,censor_policy,evidence,confidence,review_status,notes
初赛-序列数据/11/kothiwal2025htp_LOX1_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_PDL1_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_PDL1_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_PDL2_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_PDL2_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_ROBO1_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_ROBO1_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_ROBO2N_hROBO2N_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_ROBO2N_hROBO2N_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_Syncytin2_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_Syncytin2_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_TIGIT_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_TIGIT_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/12/makowksi2022cooptimization_iso_ant.csv,初赛-序列数据/12,Co-optimization of therapeutic antibody affinity and specificity using machine learning,2022,fitness,binding_signal,source-normalized signal,identity,1,larger binding signal,experimental,Silver,yes,,,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,"ANT/OVA binding is a relative assay signal, not an absolute KD"
初赛-序列数据/12/makowski2022cooptimization_igg_ant.csv,初赛-序列数据/12,Co-optimization of therapeutic antibody affinity and specificity using machine learning,2022,fitness,binding_signal,source-normalized signal,identity,1,larger binding signal,experimental,Silver,yes,,,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,"ANT/OVA binding is a relative assay signal, not an absolute KD"
初赛-序列数据/12/makowski2022cooptimization_igg_ova.csv,初赛-序列数据/12,Co-optimization of therapeutic antibody affinity and specificity using machine learning,2022,fitness,binding_signal,source-normalized signal,identity,1,larger binding signal,experimental,Silver,yes,,,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,"ANT/OVA binding is a relative assay signal, not an absolute KD"
初赛-序列数据/12/makowski2022cooptimization_iso_ova.csv,初赛-序列数据/12,Co-optimization of therapeutic antibody affinity and specificity using machine learning,2022,fitness,binding_signal,source-normalized signal,identity,1,larger binding signal,experimental,Silver,yes,,,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,"ANT/OVA binding is a relative assay signal, not an absolute KD"
初赛-序列数据/13/phillips2021binding_cr6261_h1_kd.csv,初赛-序列数据/13,Binding affinity landscapes constrain the evolution of broadly neutralizing anti-influenza antibodies,2021,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/13/phillips2021binding_cr6261_h9_kd.csv,初赛-序列数据/13,Binding affinity landscapes constrain the evolution of broadly neutralizing anti-influenza antibodies,2021,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/13/phillips2021binding_cr9114_h1_kd.csv,初赛-序列数据/13,Binding affinity landscapes constrain the evolution of broadly neutralizing anti-influenza antibodies,2021,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/13/phillips2021binding_cr9114_h3_kd.csv,初赛-序列数据/13,Binding affinity landscapes constrain the evolution of broadly neutralizing anti-influenza antibodies,2021,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/14/rawat2022abcov_ic50.csv,初赛-序列数据/14,Ab-CoV: binding affinity and neutralization profiles of coronavirus-related antibodies,2022,fitness,IC50,source unit,identity,-1,smaller IC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/14/rawat2022abcov_kd.csv,初赛-序列数据/14,Ab-CoV: binding affinity and neutralization profiles of coronavirus-related antibodies,2022,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/15/rosace2023automated_kd_adalimumab.csv,初赛-序列数据/15,Automated optimisation of solubility and conformational stability of antibodies and proteins,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/15/rosace2023automated_kd_golimumab.csv,初赛-序列数据/15,Automated optimisation of solubility and conformational stability of antibodies and proteins,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/16/shanehsazzadeh2024igdesign_Afasevikumab-IL17A_kd.csv,初赛-序列数据/16,IgDesign: in vitro validated antibody design using inverse folding,2024,fitness,KD,nM,identity,-1,smaller KD,experimental,Gold,yes,0,1000000000,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/16/shanehsazzadeh2024igdesign_Bimagrumab-ACVR2B_kd.csv,初赛-序列数据/16,IgDesign: in vitro validated antibody design using inverse folding,2024,fitness,KD,nM,identity,-1,smaller KD,experimental,Gold,yes,0,1000000000,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/16/shanehsazzadeh2024igdesign_Eculizumab-C5_kd.csv,初赛-序列数据/16,IgDesign: in vitro validated antibody design using inverse folding,2024,fitness,KD,nM,identity,-1,smaller KD,experimental,Gold,yes,0,1000000000,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/16/shanehsazzadeh2024igdesign_Osocimab-FXI_kd.csv,初赛-序列数据/16,IgDesign: in vitro validated antibody design using inverse folding,2024,fitness,KD,nM,identity,-1,smaller KD,experimental,Gold,yes,0,1000000000,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/16/shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd.csv,初赛-序列数据/16,IgDesign: in vitro validated antibody design using inverse folding,2024,fitness,KD,nM,identity,-1,smaller KD,experimental,Gold,yes,0,1000000000,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/16/shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd.csv,初赛-序列数据/16,IgDesign: in vitro validated antibody design using inverse folding,2024,fitness,KD,nM,identity,-1,smaller KD,experimental,Gold,yes,0,1000000000,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/16/shanehsazzadeh2024igdesign_Utomilumab-TNFRSF9_kd.csv,初赛-序列数据/16,IgDesign: in vitro validated antibody design using inverse folding,2024,fitness,KD,nM,identity,-1,smaller KD,experimental,Gold,yes,0,1000000000,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/17/shanker2024unsupervised_Ly1404-BQ.1.1_IC50.csv,初赛-序列数据/17,Unsupervised evolution of protein and antibody complexes with a structure-informed language model,2024,fitness,IC50,ng/uL,identity,-1,smaller IC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/17/shanker2024unsupervised_Ly1404-BQ.1.1_Kd.csv,初赛-序列数据/17,Unsupervised evolution of protein and antibody complexes with a structure-informed language model,2024,fitness,KD,M,identity,-1,smaller KD,experimental,Gold,yes,0,1,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/17/shanker2024unsupervised_Ly1404_Wuhan_IC50.csv,初赛-序列数据/17,Unsupervised evolution of protein and antibody complexes with a structure-informed language model,2024,fitness,IC50,ng/uL,identity,-1,smaller IC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/17/shanker2024unsupervised_SA58-BA.1_IC50.csv,初赛-序列数据/17,Unsupervised evolution of protein and antibody complexes with a structure-informed language model,2024,fitness,IC50,ng/uL,identity,-1,smaller IC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/17/shanker2024unsupervised_SA58-BQ.1.1_IC50.csv,初赛-序列数据/17,Unsupervised evolution of protein and antibody complexes with a structure-informed language model,2024,fitness,IC50,ng/uL,identity,-1,smaller IC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/17/shanker2024unsupervised_SA58-BQ.1.1_Kd.csv,初赛-序列数据/17,Unsupervised evolution of protein and antibody complexes with a structure-informed language model,2024,fitness,KD,M,identity,-1,smaller KD,experimental,Gold,yes,0,1,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/17/shanker2024unsupervised_SA58-XBB.1.5_Kd.csv,初赛-序列数据/17,Unsupervised evolution of protein and antibody complexes with a structure-informed language model,2024,fitness,KD,M,identity,-1,smaller KD,experimental,Gold,yes,0,1,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/18/tsuruta2024avida-hIL6_binary.csv,初赛-序列数据/18,AVIDa-hIL6: a large-scale VHH interaction dataset,2023,fitness,binding_class,0/1,identity,1,1=binder,experimental,Auxiliary,no,0,1,reject_outside_range,supplied paper plus original CSV measurement column,high,human_reviewed,classification-only auxiliary label; excluded from main affinity ranking supervision
初赛-序列数据/19/tsuruta2024sarscov2_binary.csv,初赛-序列数据/19,A SARS-CoV-2 interaction dataset and VHH sequence corpus for antibody language models,2024,fitness,binding_class,0/1,identity,1,1=binder,experimental,Auxiliary,no,0,1,reject_outside_range,supplied paper plus original CSV measurement column,high,human_reviewed,classification-only auxiliary label; excluded from main affinity ranking supervision
初赛-序列数据/2/shanehsazzadeh2023unlocking_adcc_ec50.csv,初赛-序列数据/2,Unlocking de novo antibody design with generative artificial intelligence,2023,fitness,EC50,pM,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/2/shanehsazzadeh2023unlocking_kd_hher2_fab.csv,初赛-序列数据/2,Unlocking de novo antibody design with generative artificial intelligence,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/2/shanehsazzadeh2023unlocking_kd_hher2_mab.csv,初赛-序列数据/2,Unlocking de novo antibody design with generative artificial intelligence,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/2/shanehsazzadeh2023unlocking_zerokd_trastuzumab.csv,初赛-序列数据/2,Unlocking de novo antibody design with generative artificial intelligence,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/20/warszawski2019_d44_Kd.csv,初赛-序列数据/20,Optimizing antibody affinity and stability by automated VH-VL interface design,2019,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/21/zimmerman2020antibody_4420_kd.csv,初赛-序列数据/21,Antibody evolution constrains conformational heterogeneity by tailoring protein dynamics,2020,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/22/proteinbase_all_data_28_01_2026.csv,初赛-序列数据/22,No supplied paper; ProteinBase auxiliary export,2026,,none,,identity,0,not_applicable,unlabeled,Auxiliary,no,,,not_applicable,supplied paper plus original CSV measurement column,high,human_reviewed,"evaluations is structured auxiliary metadata, not a directly supported numeric label"
初赛-序列数据/3/li2023machine_scFv-SARS-CoV-2_affinity1.csv,初赛-序列数据/3,Machine learning optimization of candidate antibody yields highly diverse sub-nanomolar affinity antibody libraries,2023,Pred_affinity,predicted_log10_KD,log10(nM),identity,-1,smaller predicted KD,model_predicted,Weak,yes,-10,20,reject_nonfinite,paper Fig. 1/2 identifies predicted affinity as log10 KD in nM; CSV values match,high,human_reviewed,group 6 reproduces the labeled subset used to construct group 3
初赛-序列数据/3/li2023machine_scFv-SARS-CoV-2_affinity2.csv,初赛-序列数据/3,Machine learning optimization of candidate antibody yields highly diverse sub-nanomolar affinity antibody libraries,2023,Pred_affinity,predicted_log10_KD,log10(nM),identity,-1,smaller predicted KD,model_predicted,Weak,yes,-10,20,reject_nonfinite,paper Fig. 1/2 identifies predicted affinity as log10 KD in nM; CSV values match,high,human_reviewed,group 6 reproduces the labeled subset used to construct group 3
初赛-序列数据/4/AbRank_dataset.csv,初赛-序列数据/4,AbRank: A Benchmark Dataset and Metric-Learning Framework for Antibody-Antigen Affinity Ranking,2025,fitness,log10_KD_or_IC50,log10(nM or source assay unit),identity,-1,smaller KD/IC50,experimental,Silver,yes,-12,20,reject_nonfinite,CSV log_Aff/fitness equals log10 affinity (e.g. 815 nM -> 2.9112); AbRank paper treats stronger binding as preferred,high,human_reviewed,heterogeneous assays and units; compare only within compatible antigen/assay groups
初赛-序列数据/5/adams2017measuring_4420-fluorescein_kd-flow.csv,初赛-序列数据/5,Measuring the sequence-affinity landscape of antibodies with massively parallel titration curves,2017,fitness,KD,M,identity,-1,smaller KD,experimental,Gold,yes,0,1,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/5/adams2017measuring_4420-fluorescein_kd-titeseq.csv,初赛-序列数据/5,Measuring the sequence-affinity landscape of antibodies with massively parallel titration curves,2017,fitness,KD,M,identity,-1,smaller KD,experimental,Gold,yes,0,1,require_positive_and_below_max,supplied paper plus original CSV measurement column,high,human_reviewed,"zero and physically implausible values are quarantined, not silently clipped"
初赛-序列数据/6/engelhart2022dataset_scFv-SARS-CoV-2_affinity.csv,初赛-序列数据/6,"A dataset comprised of binding interactions for 104,972 antibodies against a SARS-CoV-2 peptide",2022,fitness,predicted_log10_KD,log10(nM),identity,-1,smaller predicted KD,model_predicted,Weak,yes,-10,20,reject_nonfinite,paper Fig. 1/2 identifies predicted affinity as log10 KD in nM; CSV values match,high,human_reviewed,group 6 reproduces the labeled subset used to construct group 3
初赛-序列数据/7/hie2023efficient_CoV2_S309_Kd.csv,初赛-序列数据/7,Efficient evolution of human antibodies from general protein language models,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/7/hie2023efficient_CoV2Beta_C143_Kd.csv,初赛-序列数据/7,Efficient evolution of human antibodies from general protein language models,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/7/hie2023efficient_CoV2Beta_REGN10987_Kd.csv,初赛-序列数据/7,Efficient evolution of human antibodies from general protein language models,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/7/hie2023efficient_CoV2omicron_REGN10987_Kd.csv,初赛-序列数据/7,Efficient evolution of human antibodies from general protein language models,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/7/hie2023efficient_ebola_mab114_Kd.csv,初赛-序列数据/7,Efficient evolution of human antibodies from general protein language models,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/7/hie2023efficient_MEDI_H4Hubei_Kd.csv,初赛-序列数据/7,Efficient evolution of human antibodies from general protein language models,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/7/hie2023efficient_MEDI_H7HK16_Kd.csv,初赛-序列数据/7,Efficient evolution of human antibodies from general protein language models,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/7/hie2023efficient_MEDIUCA_H1Solomon_Kd.csv,初赛-序列数据/7,Efficient evolution of human antibodies from general protein language models,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/7/hie2023efficient_MEDIUCA_H4Hubei_Kd.csv,初赛-序列数据/7,Efficient evolution of human antibodies from general protein language models,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/8/hutchinson2023enhancement_multikd_fab.csv,初赛-序列数据/8,Toward enhancement of antibody thermostability and affinity by computational design in the absence of antigen,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/8/hutchinson2023enhancement_multikd_igg.csv,初赛-序列数据/8,Toward enhancement of antibody thermostability and affinity by computational design in the absence of antigen,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/8/hutchinson2023enhancement_singlekd_fab.csv,初赛-序列数据/8,Toward enhancement of antibody thermostability and affinity by computational design in the absence of antigen,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/8/hutchinson2023enhancement_singlekd_igg.csv,初赛-序列数据/8,Toward enhancement of antibody thermostability and affinity by computational design in the absence of antigen,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/8/hutchinson2023enhancement_top200kd_fab.csv,初赛-序列数据/8,Toward enhancement of antibody thermostability and affinity by computational design in the absence of antigen,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/8/hutchinson2023enhancement_top200kd_igg.csv,初赛-序列数据/8,Toward enhancement of antibody thermostability and affinity by computational design in the absence of antigen,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/8/hutchinson2023enhancement_top27kd_fab.csv,初赛-序列数据/8,Toward enhancement of antibody thermostability and affinity by computational design in the absence of antigen,2023,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
