source_file,document_filename,filename_alias,endpoint_definition,raw_numeric_direction,development_value_direction,certification_label_source,endpoint_grade,affinity_grade,grade_weight,training_head,primary_affinity_weight,comparison_scope,certification_notes,certification_version
初赛-序列数据/7/hie2023efficient_MEDI_H7HK16_Kd.csv,hie2023efficient_MEDI_H7HK16_Kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/7/hie2023efficient_ebola_mab114_Kd.csv,hie2023efficient_ebola_mab114_Kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/8/hutchinson2023enhancement_multikd_fab.csv,hutchinson2023enhancement_multikd_f ab.csv,,pKD / -log10(KD) (Fab),越大=亲和力/表观亲合力更强,通常越大越好,实验或实验拟合,A/B,A/B,0.875,affinity_kd,0.875,同格式同平台,Fab 与 IgG 分开建模；IgG 可能含双价 avidity,2026-08-03_docx_revision
初赛-序列数据/8/hutchinson2023enhancement_multikd_igg.csv,hutchinson2023enhancement_multikd_ig g.csv,,pKD / -log10(KD) (IgG),越大=亲和力/表观亲合力更强,通常越大越好,实验或实验拟合,A/B,B,0.75,affinity_kd,0.75,同格式同平台,Fab 与 IgG 分开建模；IgG 可能含双价 avidity,2026-08-03_docx_revision
初赛-序列数据/8/hutchinson2023enhancement_singlekd_fab.csv,hutchinson2023enhancement_singlekd_f ab.csv,,pKD / -log10(KD) (Fab),越大=亲和力/表观亲合力更强,通常越大越好,实验或实验拟合,A/B,A/B,0.875,affinity_kd,0.875,同格式同平台,Fab 与 IgG 分开建模；IgG 可能含双价 avidity,2026-08-03_docx_revision
初赛-序列数据/8/hutchinson2023enhancement_singlekd_igg.csv,hutchinson2023enhancement_singlekd_i gg.csv,,pKD / -log10(KD) (IgG),越大=亲和力/表观亲合力更强,通常越大越好,实验或实验拟合,A/B,B,0.75,affinity_kd,0.75,同格式同平台,Fab 与 IgG 分开建模；IgG 可能含双价 avidity,2026-08-03_docx_revision
初赛-序列数据/8/hutchinson2023enhancement_top200kd_fab.csv,hutchinson2023enhancement_top200kd_ fab.csv,,pKD / -log10(KD) (Fab),越大=亲和力/表观亲合力更强,通常越大越好,实验或实验拟合,A/B,A/B,0.875,affinity_kd,0.875,同格式同平台,Fab 与 IgG 分开建模；IgG 可能含双价 avidity,2026-08-03_docx_revision
初赛-序列数据/8/hutchinson2023enhancement_top200kd_igg.csv,hutchinson2023enhancement_top200kd_ igg.csv,,pKD / -log10(KD) (IgG),越大=亲和力/表观亲合力更强,通常越大越好,实验或实验拟合,A/B,B,0.75,affinity_kd,0.75,同格式同平台,Fab 与 IgG 分开建模；IgG 可能含双价 avidity,2026-08-03_docx_revision
初赛-序列数据/8/hutchinson2023enhancement_top27kd_fab.csv,hutchinson2023enhancement_top27kd_f ab.csv,,pKD / -log10(KD) (Fab),越大=亲和力/表观亲合力更强,通常越大越好,实验或实验拟合,A/B,A/B,0.875,affinity_kd,0.875,同格式同平台,Fab 与 IgG 分开建模；IgG 可能含双价 avidity,2026-08-03_docx_revision
初赛-序列数据/8/hutchinson2023enhancement_top27kd_igg.csv,hutchinson2023enhancement_top27kd_i gg.csv,,pKD / -log10(KD) (IgG),越大=亲和力/表观亲合力更强,通常越大越好,实验或实验拟合,A/B,B,0.75,affinity_kd,0.75,同格式同平台,Fab 与 IgG 分开建模；IgG 可能含双价 avidity,2026-08-03_docx_revision
初赛-序列数据/9/kirby2024retrospective_ab-SARSCoV2_binary_kd.csv,kirby2024retrospective_ab- SARSCoV2_binary_kd.csv,,bind/no-bind,1=达到阳性阈值,1 通常优于0,实验分类,A/B,D,0,binding_classification,0,仅同阈值体系,非定量分析,2026-08-03_docx_revision
初赛-序列数据/9/kirby2024retrospective_ab-SARSCoV2_kd.csv,kirby2024retrospective_ab- SARSCoV2_kd.csv,,原始 KD（单位待复核）,越小=亲和力更强,越小通常越好,实验汇总,B,B/C,0.625,affinity_kd,0.625,同来源,,2026-08-03_docx_revision
初赛-序列数据/10/koenig2017mutational_kd_g6.csv,koenig2017mutational_kd_g6.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_DCC_ec50.csv,kothiwal2025htp_DCC_ec50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_DCC_spr.csv,kothiwal2025htp_DCC_spr.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_DKK_1.00_ec50.csv,kothiwal2025htp_DKK_1.00_ec50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_DKK_1.00_spr.csv,kothiwal2025htp_DKK_1.00_spr.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_IL23R_ec50.csv,kothiwal2025htp_IL23R_ec50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_IL23R_spr.csv,kothiwal2025htp_IL23R_spr.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_LOX1_ec50.csv,kothiwal2025htp_LOX1_ec50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_LOX1_spr.csv,kothiwal2025htp_LOX1_spr.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_PDL1_ec50.csv,kothiwal2025htp_PDL1_ec50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_PDL1_spr.csv,kothiwal2025htp_PDL1_spr.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_PDL2_ec50.csv,kothiwal2025htp_PDL2_ec50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_PDL2_spr.csv,kothiwal2025htp_PDL2_spr.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_ROBO1_ec50.csv,kothiwal2025htp_ROBO1_ec50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_ROBO1_spr.csv,kothiwal2025htp_ROBO1_spr.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_ROBO2N_hROBO2N_ec50.csv,kothiwal2025htp_ROBO2N_hROBO2N_ec 50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_ROBO2N_hROBO2N_spr.csv,kothiwal2025htp_ROBO2N_hROBO2N_sp r.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_Syncytin2_ec50.csv,kothiwal2025htp_Syncytin2_ec50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_Syncytin2_spr.csv,kothiwal2025htp_Syncytin2_spr.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_TIGIT_ec50.csv,kothiwal2025htp_TIGIT_ec50.csv,,结合/效应 EC50,越小=半最大反应所需浓度更低,通常越小越好,细胞/展示功能实验,A/B,B/C,0.625,binding_ec50,0,仅同实验体系,独立 EC50 任务；不得等同 KD,2026-08-03_docx_revision
初赛-序列数据/11/kothiwal2025htp_TIGIT_spr.csv,kothiwal2025htp_TIGIT_spr.csv,,SPR pKD / -log10(KD[M]),越大=KD 更低,越大通常越好,SPR 动力学实验,A,A,1,affinity_kd,1,同平台；跨靶点谨慎,保留 kon/koff 与拟合模型；勿与 EC50 直接合并,2026-08-03_docx_revision
初赛-序列数据/12/makowksi2022cooptimization_iso_ant.csv,makowski2022cooptimization_iso_ant.cs v,makowksi2022cooptimization_iso_ant.csv,目标抗原相对结合信号,越大=检测到的目标结合更强,通常越大越好,相对结合实验,B,C,0.5,relative_target_binding,0,仅同板/同构型,作为相对信号任务；控制表达量与背景,2026-08-03_docx_revision
初赛-序列数据/12/makowski2022cooptimization_igg_ant.csv,makowski2022cooptimization_igg_ant.cs v,,目标抗原相对结合信号,越大=检测到的目标结合更强,通常越大越好,相对结合实验,B,C,0.5,relative_target_binding,0,仅同板/同构型,作为相对信号任务；控制表达量与背景,2026-08-03_docx_revision
初赛-序列数据/12/makowski2022cooptimization_iso_ova.csv,makowski2022cooptimization_iso_ova.cs v,,OVA 非特异性/多反应性结合信号,越大=非特异结合更强,越小通常越好,特异性/多反应性实验,B,D,0,developability_ova_risk,0,仅同板/同构型,方向改为开发价值越小越好；作为风险约束,2026-08-03_docx_revision
初赛-序列数据/12/makowski2022cooptimization_igg_ova.csv,makowski2022cooptimization_igg_ova.cs v,,OVA 非特异性/多反应性结合信号,越大=非特异结合更强,越小通常越好,特异性/多反应性实验,B,D,0,developability_ova_risk,0,仅同板/同构型,方向改为开发价值越小越好；作为风险约束,2026-08-03_docx_revision
初赛-序列数据/13/phillips2021binding_cr6261_h1_kd.csv,phillips2021binding_cr6261_h1_kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/13/phillips2021binding_cr6261_h9_kd.csv,phillips2021binding_cr6261_h9_kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/13/phillips2021binding_cr9114_h1_kd.csv,phillips2021binding_cr9114_h1_kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/13/phillips2021binding_cr9114_h3_kd.csv,phillips2021binding_cr9114_h3_kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/14/rawat2022abcov_ic50.csv,rawat2022abcov_ic50.csv,,抑制/中和 IC50,越小=体外效力更强,通常越小越好,功能实验,A/B,C,0.5,neutralization_ic50,0,同研究同体系,独立功能终点；不得并入 KD 回归,2026-08-03_docx_revision
初赛-序列数据/14/rawat2022abcov_kd.csv,rawat2022abcov_kd.csv,,文献汇总 pKD / -log10(KD),越大=记录的 KD 更低,通常越大越好,文献数据库汇总,B/C,B/C,0.625,affinity_kd,0.625,优先同研究内,,2026-08-03_docx_revision
初赛-序列数据/15/rosace2023automated_kd_adalimumab.csv,rosace2023automated_kd_adalimumab.c sv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/15/rosace2023automated_kd_golimumab.csv,rosace2023automated_kd_golimumab.cs v,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/16/shanehsazzadeh2024igdesign_Afasevikumab-IL17A_kd.csv,shanehsazzadeh2024igdesign_Afaseviku mab-IL17A_kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,统一换算为 M 后计算 pKD；保留分子格式,2026-08-03_docx_revision
初赛-序列数据/16/shanehsazzadeh2024igdesign_Bimagrumab-ACVR2B_kd.csv,shanehsazzadeh2024igdesign_Bimagrum ab-ACVR2B_kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,统一换算为 M 后计算 pKD；保留分子格式,2026-08-03_docx_revision
初赛-序列数据/16/shanehsazzadeh2024igdesign_Eculizumab-C5_kd.csv,shanehsazzadeh2024igdesign_Eculizuma b-C5_kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,统一换算为 M 后计算 pKD；保留分子格式,2026-08-03_docx_revision
初赛-序列数据/16/shanehsazzadeh2024igdesign_Osocimab-FXI_kd.csv,shanehsazzadeh2024igdesign_Osocimab- FXI_kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,统一换算为 M 后计算 pKD；保留分子格式,2026-08-03_docx_revision
初赛-序列数据/16/shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd.csv,shanehsazzadeh2024igdesign_Spesolima b-IL36R_kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,统一换算为 M 后计算 pKD；保留分子格式,2026-08-03_docx_revision
初赛-序列数据/16/shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd.csv,shanehsazzadeh2024igdesign_Tezepelu mab-TSLP_kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,统一换算为 M 后计算 pKD；保留分子格式,2026-08-03_docx_revision
初赛-序列数据/16/shanehsazzadeh2024igdesign_Utomilumab-TNFRSF9_kd.csv,shanehsazzadeh2024igdesign_Utomilum ab-TNFRSF9_kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,统一换算为 M 后计算 pKD；保留分子格式,2026-08-03_docx_revision
初赛-序列数据/17/shanker2024unsupervised_Ly1404-BQ.1.1_IC50.csv,shanker2024unsupervised_Ly1404- BQ.1.1_IC50.csv,,抑制/中和 IC50,越小=体外效力更强,通常越小越好,功能实验,A/B,C,0.5,neutralization_ic50,0,同研究同体系,独立功能终点；不得并入 KD 回归,2026-08-03_docx_revision
初赛-序列数据/17/shanker2024unsupervised_Ly1404_Wuhan_IC50.csv,shanker2024unsupervised_Ly1404_Wuha n_IC50.csv,,抑制/中和 IC50,越小=体外效力更强,通常越小越好,功能实验,A/B,C,0.5,neutralization_ic50,0,同研究同体系,独立功能终点；不得并入 KD 回归,2026-08-03_docx_revision
初赛-序列数据/17/shanker2024unsupervised_SA58-BA.1_IC50.csv,shanker2024unsupervised_SA58- BA.1_IC50.csv,,抑制/中和 IC50,越小=体外效力更强,通常越小越好,功能实验,A/B,C,0.5,neutralization_ic50,0,同研究同体系,独立功能终点；不得并入 KD 回归,2026-08-03_docx_revision
初赛-序列数据/17/shanker2024unsupervised_SA58-BQ.1.1_IC50.csv,shanker2024unsupervised_SA58- BQ.1.1_IC50.csv,,抑制/中和 IC50,越小=体外效力更强,通常越小越好,功能实验,A/B,C,0.5,neutralization_ic50,0,同研究同体系,独立功能终点；不得并入 KD 回归,2026-08-03_docx_revision
初赛-序列数据/17/shanker2024unsupervised_Ly1404-BQ.1.1_Kd.csv,shanker2024unsupervised_Ly1404- BQ.1.1_Kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,复核并隔离已知异常 KD；保留原始曲线/重复信息,2026-08-03_docx_revision
初赛-序列数据/17/shanker2024unsupervised_SA58-BQ.1.1_Kd.csv,shanker2024unsupervised_SA58- BQ.1.1_Kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,复核并隔离已知异常 KD；保留原始曲线/重复信息,2026-08-03_docx_revision
初赛-序列数据/17/shanker2024unsupervised_SA58-XBB.1.5_Kd.csv,shanker2024unsupervised_SA58- XBB.1.5_Kd.csv,,原始 KD,越小=亲和力更强,通常越小越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,复核并隔离已知异常 KD；保留原始曲线/重复信息,2026-08-03_docx_revision
初赛-序列数据/18/tsuruta2024avida-hIL6_binary.csv,tsuruta2024avida-hIL6_binary.csv,,bind/no-bind,1=达到阳性阈值,1 通常优于0,实验分类,A/B,D,0,binding_classification,0,仅同阈值体系,非定量,2026-08-03_docx_revision
初赛-序列数据/19/tsuruta2024sarscov2_binary.csv,tsuruta2024sarscov2_binary.csv,,bind/no-bind,1=达到阳性阈值,1 通常优于0,实验分类,A/B,D,0,binding_classification,0,仅同阈值体系,非定量,2026-08-03_docx_revision
初赛-序列数据/20/warszawski2019_d44_Kd.csv,warszawski2019_d44_Kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/21/zimmerman2020antibody_4420_kd.csv,zimmerman2020antibody_4420_kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/22/proteinbase_all_data_28_01_2026.csv,proteinbase_all_data_28_01_2026.csv,,无监督序列/辅助数据,无方向,不适用,无实验监督标签,NA,NA,0,unsupervised,0,不可作为标签比较,仅用于预训练、去重或外部表征；不得进入监督评估,2026-08-03_docx_revision
